MATCH ID,VENUE CITY,GROUND,OPPOSITION TEAM,PITCH,WEATHER,AVERAGE LAST FIVE,AVERAGE LAST FIVE,FOUR LAST FIVE,FOUR LAST FIVE ,SIX LAST FIVE,SIX LAST FIVE,SCORE LAST FIVE,SCORE LAST FIVE
Test # 2514,Maitland Place,Colombo (SSC),v Sri Lanka,Grass,Windy,244.71,High Average,60,High,10,High,707,High Score
Test # 2472,The Esplanade,Galle,v Sri Lanka,Grass,Sunny,218.54,High Average,52,High,6,High,587,High Score
Test # 2453,Main Pavilion,Rawalpindi,v Australia,Grass,Sunny,235.91,High Average,53,High,5,Medium,500,High Score
Test # 2478,Main Pavilion,Rawalpindi,v England,Grass,Windy,211.04,High Average,40,Medium,7,High,416,Medium Score
Test # 2455,University End,Karachi,v Australia,Grass,Rainy,202.76,High Average,31,Medium,6,High,346,Medium Score
Test # 2458,Lahore Stadium,Lahore,v Australia,Grass,Sunny,213.19,High Average,28,Medium,6,High,295,Medium Score
Test # 2436,North Pavilion End,Chattogram,v Bangladesh,Grass,Windy,211.42,High Average,20,Medium,7,High,241,Medium Score
Test # 2436,North Pavilion End,Chattogram,v Bangladesh,Grass,Sunny,202.98,High Average,16,Medium,6,High,194,Medium Score
Test # 2480,Main Pavilion,Multan,v England,Grass,Sunny,221.66,High Average,16,Medium,5,Medium,167,Medium Score
Test # 2453,Main Pavilion,Rawalpindi,v Australia,Grass,Windy,302.01,High Average,16,Medium,3,Medium,135,Medium Score
Test # 2458,Lahore Stadium,Lahore,v Australia,Grass,Windy,259.11,High Average,16,Medium,2,Medium,116,Medium Score
Test # 2483,University End,Karachi,v England,Grass,Sunny,250.36,High Average,15,Medium,1,Low,106,Medium Score
Test # 2439,Ispahani,Mirpur,v Bangladesh,Grass,Sunny,233.59,High Average,14,Medium,1,Low,96,Low Score
Test # 2487,University End,Karachi,v New Zealand,Grass,Windy,215.4,High Average,15,Medium,0,Low,85,Low Score
Test # 2511,The Esplanade,Galle,v Sri Lanka,Grass,Rainy,192.14,lie b/w high and low,12,Medium,0,Low,79,Low Score
Test # 2486,University End,Karachi,v New Zealand,Grass,Sunny,151.94,lie b/w high and low,11,Medium,0,Low,73,Low Score
Test # 2473,The Esplanade,Galle,v Sri Lanka,Grass,Windy,171.38,lie b/w high and low,11,Medium,0,Low,64,Low Score
Test # 2480,"Main Pavilion End,",Multan,v England,Grass,Sunny,184.45,lie b/w high and low,9,Low,0,Low,56,Low Score
Test # 2455,University End,Karachi,v Australia,Grass,Sunny,202.64,High Average,6,Low,0,Low,49,Low Score
Test # 2472,The Esplanade,Galle,v Sri Lanka,Grass,Windy,209.38,High Average,6,Low,0,Low,42,Low Score
Test # 2483,University End,Karachi,v England,Grass,Windy,181.73,lie b/w high and low,4,Low,0,Low,29,Low Score
Test # 2511,The Esplanade,Galle,v Sri Lanka,Grass,Sunny,137.29,lie b/w high and low,2,Low,0,Low,21,Low Score
Test # 2486,University End,Karachi,v New Zealand,Grass,Sunny,92.85,Low Average,1,Low,0,Low,13,Low Score
Test # 2478,Main Pavilion,Rawalpindi,v England,Grass,Windy,42.85,Low Average,1,Low,0,Low,6,Low Score
Test # 2473,The Esplanade,Galle,v Sri Lanka,Grass,Rainy,0,Low Average,1,Low,0,Low,0,Low Score
Test # 2487,University End,Karachi,v New Zealand,Grass,Sunny,0,Low Average,1,Low,0,Low,0,Low Score